PU_Borough,PU_Zone,trips,avg_total,avg_tip,avg_distance
Brooklyn,Homecrest,828,35.00782608695652,0.2088405797101449,8.001449275362322
Queens,Laurelton,816,44.369852941176454,0.30470588235294116,11.443897058823527
Brooklyn,South Williamsburg,798,30.463458646616537,1.53812030075188,5.3518045112781945
Bronx,Spuyten Duyvil/Kingsbridge,780,55.206384615384636,0.7096923076923076,8.858
Bronx,Norwood,750,41.493439999999985,0.15632,10.019759999999998
Brooklyn,Bensonhurst East,732,36.46040983606558,0.6603278688524591,7.802704918032785
Manhattan,Roosevelt Island,720,34.96341666666667,2.833166666666668,5.695583333333332
Queens,Kew Gardens Hills,714,39.00470588235294,0.7215966386554622,7.885966386554622
Bronx,Kingsbridge Heights,708,37.01177966101695,0.21796610169491523,8.303135593220336
Bronx,West Farms/Bronx River,702,32.84649572649573,0.11923076923076924,7.3492307692307675
Queens,Cambria Heights,702,46.58641025641025,0.28991452991453,10.930427350427351
Bronx,Eastchester,678,41.35849557522124,0.0,9.673539823008852
Queens,Howard Beach,666,49.80846846846845,1.9757657657657657,9.705495495495494
Brooklyn,Madison,660,35.89854545454546,0.0,8.114272727272725
Brooklyn,Gravesend,654,44.64522935779817,0.22036697247706427,11.09697247706422
Brooklyn,Kensington,654,32.851467889908264,1.0695412844036698,6.701376146788989
Bronx,Soundview/Bruckner,648,34.20166666666668,0.0,7.912500000000003
Bronx,Pelham Parkway,648,31.99740740740741,0.24166666666666667,6.43814814814815
Bronx,Belmont,624,37.73701923076924,0.13903846153846158,8.591826923076926
Bronx,Crotona Park East,618,32.69669902912622,0.02912621359223301,7.245533980582524
Bronx,Bronxdale,618,36.97291262135923,0.0,8.500582524271843
Bronx,Woodlawn/Wakefield,588,43.88785714285715,0.0,10.70010204081632
Brooklyn,Sunset Park East,576,35.20947916666668,0.3972916666666666,7.187604166666666
Brooklyn,Dyker Heights,564,43.00648936170214,1.2164893617021275,8.918191489361705
Bronx,Schuylerville/Edgewater Park,552,39.90695652173914,0.6155434782608696,9.16934782608696
Queens,Ozone Park,540,36.760000000000005,1.1554444444444445,6.834666666666666
Manhattan,Randalls Island,534,69.48179775280894,7.593707865168541,5.735617977528088
Bronx,Westchester Village/Unionport,534,32.96224719101124,0.26033707865168537,7.215393258426965
Bronx,Longwood,528,33.9221590909091,0.09090909090909091,7.022272727272723
Bronx,Hunts Point,504,33.5575,0.4019047619047619,6.979166666666669
Bronx,Allerton/Pelham Gardens,492,45.22670731707318,0.24963414634146341,9.669999999999996
Bronx,Riverdale/North Riverdale/Fieldston,492,38.35914634146341,0.07097560975609757,9.335487804878053
Bronx,Fordham South,486,33.25753086419754,0.061604938271604945,7.144197530864198
Queens,Middle Village,468,43.722435897435915,2.928717948717949,6.907307692307689
Queens,Rockaway Park,414,47.560579710144914,0.014492753623188406,12.97942028985507
Brooklyn,Manhattan Beach,414,44.44304347826087,1.4356521739130435,10.038115942028984
Queens,Glendale,396,31.44348484848485,2.021666666666667,5.4836363636363625
Queens,Bellerose,396,43.732272727272736,1.3336363636363633,9.431363636363638
Queens,Bayside,396,38.82439393939395,1.6075757575757577,8.56090909090909
Brooklyn,Windsor Terrace,390,34.76938461538462,1.2973846153846158,7.482153846153844
Queens,Hollis,384,37.196875,0.0,8.328437500000001
Queens,North Corona,366,32.9244262295082,1.2186885245901642,6.310655737704919
Queens,Whitestone,354,43.39372881355933,2.829491525423728,7.813898305084744
Queens,Queensboro Hill,354,34.50254237288136,0.760677966101695,6.949322033898305
Queens,Murray Hill-Queens,348,36.368448275862086,0.0,7.734310344827585
Queens,Fresh Meadows,342,39.66105263157896,0.9570175438596492,8.700175438596492
Brooklyn,Brooklyn Navy Yard,324,31.48203703703704,1.6398148148148146,5.736666666666667
Brooklyn,Bath Beach,324,41.24981481481482,1.2964814814814816,8.958888888888891
Brooklyn,Ocean Parkway South,318,34.3377358490566,0.3835849056603774,6.756792452830189
Brooklyn,Columbia Street,312,43.32980769230768,3.358076923076923,6.648653846153847
Brooklyn,Marine Park/Floyd Bennett Field,312,38.25980769230769,4.631923076923078,6.149230769230768
EWR,Newark Airport,300,97.20080000000002,10.359200000000001,5.998800000000001
Queens,Auburndale,288,34.35687500000001,0.659375,7.430625
Queens,Oakland Gardens,282,34.97744680851064,0.0,8.313617021276597
